Especie,Talla (cm),Peso (gr),Integridad (%),pH,Temperatura (°C),Planta,Puerto,Flota,Nombre nave pesca,Zona pesca,Fecha de recepción
Caballa,31.953681788293046,250.23335420843466,81,6.500154792924336,25.06440160907164,Planta 2,Pesca Norte,Artesanal,Isidora I,151,2024-01-15
Anchoveta,11.935533556347083,63.020723447833625,93,5.49548471258708,21.5688471051366,Planta 2,Pesca Norte,Industrial,Licanten,144,2024-01-10
Sardina española,21.515238308492428,155.68606831538034,80,5.64288439799196,20.396252694882413,Planta 3,Pesca Sur,Artesanal,Isidora I,135,2024-04-04
Caballa,37.42865228725932,336.66870728046956,91,5.223575647395892,23.733841892244637,Planta 3,Pesca Norte,Industrial,Emilia,107,2024-09-08
Caballa,28.75429012449097,255.6727023125074,76,6.3548678931590885,22.00938074541558,Planta 3,Pesca Sur,Artesanal,Licanten,108,2024-04-10
Caballa,26.155262009297232,310.4947531918701,99,5.180991136114895,28.579583398804623,Planta 2,Pesca Sur,Artesanal,Licanten,139,2024-03-17
Jurel,26.685547556396195,881.2572609413604,79,6.417633223281765,27.744449113142537,Planta 3,Pesca Norte,Industrial,Isidora I,110,2024-04-28
Jurel,30.3382303352781,728.7313445899313,85,5.8937801128700755,28.923448997619094,Planta 3,Pesca Norte,Artesanal,Fernanda,154,2024-07-09
Sardina española,12.55638046644156,153.39528718914275,73,6.785413501899838,29.094470163770847,Planta 1,Pesca Sur,Industrial,Emilia,152,2024-08-30
Anchoveta,13.69149345374543,47.40918772467669,87,5.379172786322209,28.440133273205618,Planta 1,Pesca Norte,Industrial,Santiago G,145,2024-05-23
Jurel,36.94530069874286,682.2077829223939,98,5.416513840726961,22.66969887754231,Planta 3,Pesca Sur,Artesanal,Isidora I,128,2024-07-01
Caballa,29.72448533676842,238.18274719590286,73,5.98746041850646,23.20453515357759,Planta 2,Pesca Norte,Artesanal,Emilia,119,2024-02-16
Jurel,33.52386470689301,652.3136940809721,86,5.189771059252449,28.46017742553256,Planta 1,Pesca Norte,Artesanal,Isaac,138,2024-09-20
Anchoveta,12.689950599352041,59.31942587616271,89,6.9034522451441145,23.918550625386686,Planta 1,Pesca Sur,Industrial,Liliana,142,2024-05-11
Jurel,34.62084443294009,728.7405955215032,91,5.9958582773301545,24.99126163603789,Planta 2,Pesca Sur,Industrial,Isaac,144,2024-07-30
Anchoveta,21.86796661819224,97.66822587323561,97,6.699950372008287,22.26391094845196,Planta 3,Pesca Sur,Industrial,Liliana,157,2024-04-07
Caballa,24.611283702953664,259.549061095671,82,6.003513142039813,23.55760922766325,Planta 2,Pesca Norte,Industrial,Santiago G,122,2024-05-07
Caballa,19.65284783143496,309.12501939504807,73,5.187300095147641,28.391895148251727,Planta 1,Pesca Norte,Industrial,Emilia,142,2024-09-22
Caballa,26.917117963488526,381.613361665103,93,5.155963280721098,26.303755014375646,Planta 1,Pesca Sur,Artesanal,Isidora I,149,2024-07-02
Jurel,37.74653617058879,632.011590438124,80,6.813761694332493,24.166074391475988,Planta 2,Pesca Norte,Artesanal,Fernanda,155,2024-04-10
Jurel,38.525420351329096,670.9085788149756,75,5.6947370502728525,26.62621775860126,Planta 1,Pesca Norte,Industrial,Licanten,136,2024-08-04
Jurel,39.560752202953516,707.972225912467,87,6.4601878922772595,29.885066749985473,Planta 2,Pesca Sur,Artesanal,Licanten,105,2024-12-24
Anchoveta,19.915385878385138,74.61499453058734,89,6.057561628072732,26.69690180798833,Planta 1,Pesca Norte,Artesanal,Emilia,150,2024-01-31
Anchoveta,16.499617084342216,109.9917856785268,90,6.762356581165549,28.82631237604183,Planta 2,Pesca Sur,Artesanal,Isidora I,132,2024-04-17
Anchoveta,13.782121414468488,109.4802122517652,96,5.105155664389203,20.34524940606453,Planta 2,Pesca Norte,Artesanal,Isidora I,143,2024-10-04
Sardina española,21.71793235127665,148.87846410165324,72,6.170265946794595,21.00086587733473,Planta 2,Pesca Norte,Artesanal,Francesca,131,2024-07-15
Sardina española,17.40773035455114,153.68603966656315,91,6.904109425583828,21.08801990587213,Planta 1,Pesca Sur,Industrial,Licanten,157,2024-03-25
Sardina española,19.394889301057397,130.02842420856712,81,6.7316603749809865,26.6456202246851,Planta 3,Pesca Sur,Artesanal,Francesca,137,2024-06-07
Sardina española,17.878739269175785,162.37965911358677,72,5.132406916073382,23.701292301578416,Planta 2,Pesca Norte,Artesanal,Licanten,116,2024-05-24
Sardina española,22.62311920791049,137.79106435670275,77,6.914603173700918,24.684384996962176,Planta 1,Pesca Norte,Artesanal,Santiago G,124,2024-06-09
Caballa,39.37372868982863,253.26972498005824,87,5.887039084846673,22.921293096377696,Planta 3,Pesca Sur,Industrial,Isaac,156,2024-04-28
Caballa,30.38156836225474,270.4045374197235,77,5.1410110283586326,28.147952380316305,Planta 3,Pesca Sur,Industrial,Emilia,118,2024-04-01
Jurel,39.577308518356574,616.4969505767165,92,5.360932925823023,29.285352714259798,Planta 1,Pesca Norte,Artesanal,Isidora I,148,2024-03-15
Anchoveta,12.205735998527372,70.22070893664768,90,5.522209545258363,23.584677504604485,Planta 2,Pesca Sur,Industrial,Isidora I,114,2024-06-10
Caballa,35.775163925090894,365.0945471802455,82,5.949726826877803,20.349051604673704,Planta 3,Pesca Norte,Industrial,Santiago G,148,2024-08-18
Jurel,26.770929573033598,813.8327120927647,92,6.216458525681532,22.47661837420228,Planta 1,Pesca Norte,Industrial,Emilia,111,2024-10-10
Caballa,25.443504713185057,321.35850563042715,92,5.869473516032434,27.52497582518677,Planta 3,Pesca Norte,Artesanal,Francesca,112,2024-05-21
Jurel,47.291241718700874,569.5121091667174,92,6.214323328440628,24.76138693944737,Planta 2,Pesca Norte,Industrial,Licanten,156,2024-11-29
Anchoveta,16.940540551681313,117.61029983152955,85,5.934039107957741,25.89646505634368,Planta 2,Pesca Norte,Industrial,Emilia,128,2024-08-21
Anchoveta,14.277311562203403,71.720084737879,70,6.762486851153653,26.608501878972326,Planta 2,Pesca Sur,Artesanal,Francesca,158,2024-12-26
Caballa,34.98077951898784,306.27251979955713,73,6.683877470721461,26.824345664311643,Planta 1,Pesca Norte,Artesanal,Liliana,129,2024-06-17
Anchoveta,15.203208878861872,50.304916232869246,70,5.456443330767039,23.618473135979126,Planta 2,Pesca Norte,Industrial,Francesca,133,2024-11-29
Caballa,35.97988789381363,309.5057355824567,78,6.990791219175915,21.813885201643888,Planta 1,Pesca Sur,Artesanal,Fernanda,147,2024-08-25
Sardina española,19.625551699006998,99.4587695113683,80,5.779531470387564,26.792598988551518,Planta 1,Pesca Norte,Industrial,Isidora I,153,2024-04-03
Jurel,31.43804246146542,676.5546008660281,92,5.829397434491217,22.978502031591333,Planta 2,Pesca Sur,Artesanal,Emilia,109,2024-09-02
Sardina española,23.96679689794416,183.21150976235631,91,5.085448658381011,26.264483484912645,Planta 2,Pesca Norte,Industrial,Santiago G,154,2024-04-29
Jurel,40.889618344274965,725.1361316623804,76,6.857756469670613,24.962244181167122,Planta 2,Pesca Norte,Artesanal,Licanten,106,2024-10-14
Jurel,39.23213732098343,730.9528613448643,96,6.027647943753216,26.734339022263864,Planta 3,Pesca Norte,Artesanal,Francesca,141,2024-09-17
Sardina española,20.765626056204376,136.10340998813504,83,6.387353373729786,20.389510694696625,Planta 1,Pesca Sur,Artesanal,Fernanda,118,2024-06-14
Jurel,31.618876349874974,683.6781672096012,88,6.896314902623041,20.17212748868828,Planta 3,Pesca Norte,Industrial,Isidora I,131,2024-12-06
Sardina española,16.99210944135749,130.22805329865525,73,6.574476205081508,27.670628846319914,Planta 3,Pesca Norte,Industrial,Isidora I,126,2024-12-27
Jurel,52.85236658976062,635.0572208677145,89,5.415005660607211,28.052458572944573,Planta 2,Pesca Sur,Industrial,Santiago G,134,2024-02-04
Jurel,42.25069506977602,578.1570591134385,96,6.210219452479122,26.770702047846004,Planta 2,Pesca Norte,Industrial,Emilia,133,2024-12-21
Jurel,37.69485726650843,578.0598781633086,84,6.055343144971918,24.770714861266946,Planta 2,Pesca Norte,Industrial,Liliana,115,2024-06-10
Sardina española,16.21006591659472,128.66573480939485,91,5.418905219301331,23.114221005626057,Planta 1,Pesca Norte,Industrial,Isaac,125,2024-05-01
Caballa,26.95631293637383,340.29830855593707,99,6.51399576091014,29.77090927442543,Planta 1,Pesca Sur,Artesanal,Santiago G,109,2024-12-05
Caballa,28.59571519731201,317.12039911736724,81,6.725482362654754,20.03836132626084,Planta 1,Pesca Norte,Artesanal,Santiago G,107,2024-12-19
Jurel,30.141133509898403,534.3167002328153,80,5.127655561677239,22.352421719513313,Planta 1,Pesca Sur,Industrial,Francesca,132,2024-02-21
Sardina española,25.204974134650257,129.39838432662967,97,6.607866789133892,21.16081651476228,Planta 1,Pesca Norte,Artesanal,Licanten,133,2024-06-30
Sardina española,12.901844785970436,164.56142411492772,96,6.068981998261636,29.06980958449671,Planta 3,Pesca Sur,Industrial,Liliana,157,2024-09-05
Anchoveta,21.527065081653568,50.2922405839618,71,5.0653876329722625,22.849486459427254,Planta 1,Pesca Norte,Industrial,Emilia,126,2024-06-09
Jurel,39.16744506407966,527.0465306248547,90,5.419646110369964,27.238533492643427,Planta 1,Pesca Sur,Industrial,Isaac,117,2024-04-23
Anchoveta,12.70047720736886,78.3049265396684,95,5.274334308851927,27.84161001794986,Planta 3,Pesca Norte,Industrial,Isidora I,104,2024-10-29
Anchoveta,15.11824143776086,81.38909963120169,85,6.215594597366742,25.742244476730587,Planta 1,Pesca Sur,Artesanal,Emilia,117,2024-05-22
Anchoveta,9.874040443418023,83.90066031876441,89,5.531003348754879,29.99023593693496,Planta 1,Pesca Norte,Artesanal,Santiago G,153,2024-04-29
Sardina española,21.131125340203464,117.04920067142987,93,5.682244539480302,25.94958914143908,Planta 3,Pesca Norte,Artesanal,Isaac,107,2024-03-30
Caballa,36.758791017099234,304.33483509937184,87,5.585213033968446,28.510147416317132,Planta 1,Pesca Norte,Industrial,Isidora I,118,2024-04-17
Jurel,41.584177110246316,546.7743534586775,72,6.217734860596073,26.213675055637555,Planta 1,Pesca Norte,Industrial,Francesca,147,2024-01-03
Caballa,27.736951992961618,360.54793670932236,77,5.697615162501538,25.447197728511615,Planta 3,Pesca Sur,Industrial,Isidora I,124,2024-05-06
Jurel,47.858382944527285,706.5018833866578,93,6.49620576599129,28.797031162305295,Planta 3,Pesca Norte,Industrial,Isidora I,116,2024-06-13
Sardina española,24.725280244350724,171.22948348508893,87,5.754688450176468,25.549049785662543,Planta 3,Pesca Norte,Artesanal,Isidora I,153,2024-12-05
Anchoveta,11.271587698871755,112.42978211534913,85,6.508933924066843,25.998022395909608,Planta 2,Pesca Norte,Industrial,Isidora I,123,2024-04-04
Sardina española,23.203951010482236,180.88861240657803,72,6.128321993580548,28.245594635953843,Planta 3,Pesca Norte,Industrial,Francesca,112,2024-03-16
Jurel,32.38193837098415,656.7533812504366,75,5.332943705169905,20.46266068069925,Planta 1,Pesca Sur,Artesanal,Fernanda,115,2024-07-02
Jurel,58.59820922177887,713.6502542733358,85,5.630228303834218,26.629456491785014,Planta 3,Pesca Norte,Artesanal,Isaac,149,2024-10-15
Jurel,39.56962988556979,704.5397666160918,70,5.397196793972473,27.704133854879558,Planta 2,Pesca Norte,Artesanal,Emilia,146,2024-08-20
Jurel,42.200914540370405,738.1249875260493,73,6.041529043761978,25.67284516360021,Planta 2,Pesca Sur,Industrial,Francesca,128,2024-07-29
